  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
,215,7086582492.86366,3.17320,55638398.43219,0.00139,-10847146217.94862
,216,7787733684.93470,3.15638,61143298.61855,0.00135,-11920370092.49354
,217,8558257242.97168,3.13965,67192857.29618,0.00131,-13099779452.03847
,218,9405016915.07075,3.12301,73840963.33899,0.00127,-14395880359.19726
,219,10335555553.13654,3.10646,81146837.42197,0.00123,-15820218353.41668
,220,11358162303.86525,3.09000,89175559.55313,0.00119,-17385481297.50659
,221,12481946447.64842,3.07362,97998648.79984,0.00116,-19105612399.87440
,222,13716918543.14704,3.05733,107694700.37361,0.00112,-20995934419.25463
,223,15074079600.36385,3.04113,118350085.74856,0.00109,-23073286158.33714
,224,16565519076.55882,3.02501,130059722.04996,0.00106,-25356172462.16595
,225,18204522567.94574,3.00898,142927917.56669,0.00102,-27864929057.47942
,226,20005690156.47705,2.99303,157069300.91919,0.00099,-30621903701.36458
,227,21985066465.93841,2.97716,172609842.16000,0.00096,-33651655252.88007
,228,24160283585.87980,2.96139,189687974.90252,0.00093,-36981172440.95794
,229,26550718136.53566,2.94569,208455829.47409,0.00091,-40640114277.34739
,230,29177663873.85279,2.93008,229080588.07798,0.00088,-44661074256.17538
,231,32064521372.17470,2.91455,251745974.03597,0.00085,-49079870693.58762
,232,35237006474.25710,2.89910,276653888.37770,0.00083,-53935865793.78713
,233,38723379365.46674,2.88374,304026208.35516,0.00080,-59272316283.67915
,234,42554696312.73406,2.86845,334106763.90344,0.00078,-65136758739.54131
,235,46765086310.72558,2.85325,367163509.65382,0.00076,-71581433038.17133
,236,51392055099.57272,2.83813,403490911.84727,0.00073,-78663747704.57315
,237,56476819262.31732,2.82309,443412571.41078,0.00071,-86446791301.45329
,238,62064673378.18090,2.80812,487284106.56261,0.00069,-94999894415.93442
,239,68205393502.22293,2.79324,535496320.62439,0.00067,-104399247249.60881
,240,74953680565.54529,2.77844,588478683.25872,0.00065,-114728578313.36301
,241,82369647645.80824,2.76371,646703156.14265,0.00063,-126079900272.72054
,242,90519355448.61584,2.74906,710688397.15594,0.00061,-138554329587.61951
,243,99475400769.78630,2.73449,781004380.53444,0.00059,-152262987247.89597
,244,109317563180.47128,2.72000,858277474.14455,0.00057,-167327988628.13571
,245,120133515695.73177,2.70558,943196019.10656,0.00056,-183883531279.42462
,246,132019605757.13606,2.69124,1036516461.46971,0.00054,-202077090347.93927
,247,145081713486.29626,2.67698,1139070090.55920,0.00052,-222070732269.04904
,248,159436194854.58139,2.66279,1251770444.01976,0.00051,-244042558439.18796
,249,175210918170.67001,2.64868,1375621445.51920,0.00049,-268188291725.58289
,250,192546403118.87180,2.63464,1511726347.60170,0.00048,-294723019946.31110
,251,211597072494.65930,2.62068,1661297559.35301,0.00046,-323883111851.43597
,252,232532627787.74701,2.60679,1825667446.42141,0.00045,-355928322672.59259
,253,255539560866.27643,2.59297,2006300199.59985,0.00044,-391144107997.05157
,254,280822815228.04138,2.57923,2204804877.69362,0.00042,-429844166578.02435
,255,308607611617.01599,2.56556,2422949740.85798,0.00041,-472373234732.31323
,256,339141454267.59827,2.55196,2662678002.08572,0.00040,-519110157217.52673
,257,372696335647.99493,2.53844,2926125137.15749,0.00039,-570471261943.93188
,258,409571159342.38568,2.52498,3215637907.25009,0.00037,-626914068582.54517
,259,450094402654.66248,2.51160,3533795263.65424,0.00036,-688941364105.37769
,260,494627042651.95642,2.49829,3883431320.81919,0.00035,-757105681562.34753
,261,543565771712.85992,2.48505,4267660602.36552,0.00034,-832014221991.36267
,262,597346531224.13196,2.47188,4689905784.95538,0.00033,-914334263305.46558
,263,656448394903.70911,2.45878,5153928187.15960,0.00032,-1004799104338.87549
,264,721397836342.28174,2.44575,5663861274.91379,0.00031,-1104214597000.90454
,265,792773418778.27637,2.43278,6224247482.02642,0.00030,-1213466324725.53369
,266,871210948882.29846,2.41989,6840078673.73260,0.00029,-1333527491161.57080
,267,957409140460.44104,2.40706,7516840613.73879,0.00028,-1465467589375.06763
,268,1052135838528.17090,2.39431,8260561830.86651,0.00028,-1610461928788.39868
,269,1156234859198.23096,2.38162,9077867320.59435,0.00027,-1769802104721.03760
,270,1270633506311.60742,2.36899,9976037559.86636,0.00026,-1944907503793.67212
,271,1396350831768.97168,2.35644,10963073360.86478,0.00025,-2137337947684.66479
,272,1534506713144.81714,2.34395,12047767141.45834,0.00024,-2348807587868.20068
,273,1686331829446.78516,2.33153,13239781247.19616,0.00024,-2581200175107.08203
,274,1853178623883.26318,2.31917,14549734022.53188,0.00023,-2836585839719.30957
,275,2036533351294.51074,2.30688,15989294397.99205,0.00022,-3117239532095.41943
,276,2238029317564.64697,2.29465,17571285835.86194,0.00022,-3425661287732.88428
,277,2459461428949.87744,2.28249,19309800560.32676,0.00021,-3764598497306.52002
,278,2702802180926.94580,2.27039,21220325089.61918,0.00020,-4137070380154.48877
,279,2970219228988.90479,2.25836,23319878188.40103,0.00020,-4546394879187.31055
,280,3264094697907.12012,2.24639,25627162469.24564,0.00019,-4996218216797.08594
,281,3587046401464.52051,2.23448,28162730993.67179,0.00019,-5490547375048.06250
,282,3941951161683.39014,2.22264,30949170356.79487,0.00018,-6033785789478.89453
,283,4331970435273.08936,2.21086,34011301886.49548,0.00018,-6630772574473.46973
,284,4760578475575.58496,2.19914,37376402749.36768,0.00017,-7286825629616.04980
,285,5231593280872.62598,2.18749,41074448933.03712,0.00016,-8007789011017.90918
,286,5749210604739.04883,2.17589,45138382269.31155,0.00016,-8800084989594.57617
,287,6318041331403.08887,2.16436,49604403876.77959,0.00015,-9670771260023.70508
,288,6943152549049.73828,2.15289,54512296636.81590,0.00015,-10627603809995.34375
,289,7630112686944.09668,2.14148,59905779575.57688,0.00015,-11679106009787.69531
,290,8385041118451.76855,2.13013,65832897308.78720,0.00014,-12834644537611.53125
,291,9214662671815.13867,2.11884,72346448018.45287,0.00014,-14104512817058.74609
,292,10126367534262.16602,2.10761,79504453773.87532,0.00013,-15500022709907.66211
,293,11128277083067.59570,2.09644,87370677386.54002,0.00013,-17033605281075.54102
,294,12229316229983.21680,2.08533,96015190402.97189,0.00013,-18718921533322.63672
,295,13439292923474.24219,2.07428,105514997295.18227,0.00012,-20570984098121.62109
,296,14768985516959.90625,2.06328,115954721408.93433,0.00012,-22606290966702.66797
,297,16230238781325.98047,2.05235,127427358780.18701,0.00011,-24842972452537.24609
,298,17836069416979.23438,2.04147,140035106534.63974,0.00011,-27300952694387.91797
,299,19600782005334.84375,2.03065,153890273249.68002,0.00011,-30002127138577.47656
,300,21540096432621.18359,2.01989,169116279388.14856,0.00010,-32970557581471.99609
,301,23671287921080.76172,2.00918,185848756715.68735,0.00010,-36232686509597.07812
,302,26013340914951.42969,1.99853,204236756495.17255,0.00010,-39817572646707.96875
,303,28587118192029.08203,1.98794,224444077220.70923,0.00010,-43757149806043.67188
,304,31415546707241.00391,1.97741,246650723718.51205,0.00009,-48086511353595.51562
,305,34523821823706.16406,1.96693,271054510612.19891,0.00009,-52844222816360.98438
,306,37939631750552.63281,1.95650,297872824436.00867,0.00009,-58072665420266.41406
,307,41693404186762.15625,1.94613,327344560092.67450,0.00008,-63818413617960.53125
,308,45818577368121.00781,1.93582,359732248905.72906,0.00008,-70132649969459.41406
,309,50351897931736.67969,1.92556,395324397222.72192,0.00008,-77071621071358.81250
,310,55333748251468.25000,1.91535,434438056401.39740,0.00008,-84697138595986.34375
,311,60808506160142.28125,1.90520,477421647072.01654,0.00007,-93077129903701.20312
,312,66824940262924.37500,1.89510,524658062834.07410,0.00007,-102286243133141.54688
,313,73436644363258.96875,1.88506,576568081034.83655,0.00007,-112406512159503.98438
,314,80702514871201.04688,1.87507,633614111012.57996,0.00007,-123528087344238.15625
,315,88687275446846.09375,1.86513,696304313193.51074,0.00007,-135750038585602.84375
,316,97462053552330.56250,1.85525,765197125734.87964,0.00006,-149181237823578.96875
,317,107105014048271.21875,1.84541,840906239037.17969,0.00006,-163941328860406.53125
,318,117702055478658.28125,1.83563,924106062437.89551,0.00006,-180161793135811.43750
,319,129347575246639.59375,1.82590,1015537731783.57251,0.00006,-197987120950743.18750
,320,142145310497306.62500,1.81623,1116015711395.06885,0.00006,-217576098572769.18750
,321,156209262197983.37500,1.80660,1226435049235.64624,0.00006,-239103222688534.31250
,322,171664710647634.59375,1.79702,1347779349910.22437,0.00005,-262760254803088.65625
,323,188649331461451.21875,1.78750,1481129536518.49292,0.00005,-288757929432520.50000
,324,207314421971694.12500,1.77803,1627673479411.60547,0.00005,-317327831306305.62500
,325,227826248969454.06250,1.76860,1788716577624.47485,0.00005,-348724458301308.25000
,326,250367529792879.25000,1.75923,1965693387242.02686,0.00005,-383227488483845.06250
,327,275139059955258.53125,1.74991,2160180400283.75952,0.00005,-421144271454402.18750
,328,302361501811711.31250,1.74063,2373910087939.64795,0.00004,-462812566187657.00000
,329,332277350197751.25000,1.73141,2608786333253.16699,0.00004,-508603549756215.75000
,330,365153092549438.43750,1.72223,2866901390724.25146,0.00004,-558925123739481.81250
,331,401281582747258.62500,1.71310,3150554523906.66602,0.00004,-614225547770819.62500
,332,440984649829696.75000,1.70402,3462272487021.67725,0.00004,-674997432590295.25000
,333,484615964814669.25000,1.69499,3804832033036.22363,0.00004,-741782128172714.50000
,334,532564191166178.12500,1.68601,4181284648705.33057,0.00004,-815174546019973.12500
,335,585256446970234.50000,1.67707,4594983736916.09863,0.00004,-895828458574222.37500
,336,643162109660774.12500,1.66818,5049614488470.90918,0.00003,-984462322958504.50000
,337,706796997187688.87500,1.65934,5549226709404.76367,0.00003,-1081865680922165.00000
,338,776727962872408.87500,1.65055,6098270896259.25781,0.00003,-1188906192001127.25000
,339,853577944881555.62500,1.64180,6701637880668.19727,0.00003,-1306537362543729.00000
,340,938031515298882.75000,1.63310,7364702396404.91895,0.00003,-1435807039451523.50000
,341,1030840978226089.75000,1.62444,8093370956982.29297,0.00003,-1577866744296453.00000
,342,1132833071233792.50000,1.61583,8894134470294.36328,0.00003,-1733981930961793.25000
,343,1244916329858516.75000,1.60727,9774126058985.66797,0.00003,-1905543258180923.00000
,344,1368089180747929.00000,1.59875,10741184601606.41992,0.00003,-2094078977388591.75000
,345,1503448835547247.00000,1.59028,11803924560571.91406,0.00003,-2301268546234439.00000
,346,1652201064752696.75000,1.58185,12971812718946.72266,0.00003,-2528957589026613.00000
,347,1815670938596540.00000,1.57346,14255252509617.46289,0.00002,-2779174337371642.00000
,348,1995314630642420.00000,1.56513,15665676688050.06250,0.00002,-3054147697462167.50000
,349,2192732389236294.75000,1.55683,17215649174151.37305,0.00002,-3356327104954160.00000
,350,2409682792361364.00000,1.54858,18918976970432.39844,0.00002,-3688404344298910.00000
,351,2648098412877837.00000,1.54037,20790833153429.14844,0.00002,-4053337526894261.50000
,352,2910103033691960.50000,1.53221,22847892033976.57422,0.00002,-4454377441650098.00000
,353,3198030566205332.50000,1.52409,25108477690330.05469,0.00002,-4895096512696331.00000
,354,3514445840568196.00000,1.51601,27592727197252.84766,0.00002,-5379420622185805.00000
,355,3862167452934240.00000,1.50797,30322770005098.17578,0.00002,-5911664081666514.00000
,356,4244292873238008.00000,1.49998,33322925066777.19141,0.00002,-6496568063544686.00000
,357,4664226037152528.00000,1.49203,36619917468600.42188,0.00002,-7139342834982420.00000
,358,5125707668013611.00000,1.48412,40243116494719.00000,0.00002,-7845714170445283.00000
,359,5632848598815530.00000,1.47626,44224797245820.24219,0.00002,-8621974356338287.00000
